Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,fc1,0.10477359592914581,0.0,0.05173,0.69441,0.10523,0.65859,0.08462,0.61763,0.05202,0.63711
2,stage_1.0.conv_a,0.06002978980541229,0.0,0.05428,-0.00255,0.10511,0.00012,0.08343,0.0012,0.05164,0.00038
3,stage_1.0.conv_b,0.1081867665052414,0.0,0.05445,-0.00017,0.10507,5e-05,0.0834,2e-05,0.05155,9e-05
4,stage_2.4.conv_a,0.006141205783933401,0.0,0.05236,0.00208,0.10375,0.00131,0.08091,0.00249,0.04918,0.00237
5,stage_2.4.conv_b,-0.00875087734311819,-1.0,0.05162,0.00074,0.10263,0.00112,0.07869,0.00222,0.04724,0.00195
6,stage_1.3.conv_b,0.054684072732925415,0.0,0.04938,0.00224,0.10175,0.00088,0.07819,0.0005,0.0502,-0.00296
7,stage_1.3.conv_a,0.04597178101539612,0.0,0.04763,0.00175,0.09938,0.00238,0.07188,0.00631,0.0428,0.0074
8,stage_1.4.conv_a,-0.007373422384262085,-1.0,0.04773,-0.0001,0.09984,-0.00046,0.07257,-0.00069,0.04373,-0.00093
9,stage_1.4.conv_b,-0.0925317034125328,-1.0,0.0477,3e-05,0.09983,1e-05,0.07256,1e-05,0.04371,1e-05
10,stage_3.6.conv_a,0.014187358319759369,0.0,0.04295,0.00475,0.09801,0.00182,0.06922,0.00334,0.03924,0.00447
11,classifier,0.0595378577709198,0.0,0.04638,-0.00342,0.0992,-0.00119,0.06958,-0.00036,0.0406,-0.00136
12,stage_1.2.conv_b,0.06688104569911957,0.0,0.03734,0.00903,0.09462,0.00458,0.05181,0.01777,0.02299,0.01761
13,stage_1.2.conv_a,0.028589539229869843,0.0,0.06789,-0.03054,0.1063,-0.01168,0.08257,-0.03076,0.05392,-0.03093
14,stage_2.1.conv_b,0.07551635801792145,0.0,0.0365,0.03138,0.09478,0.01152,0.06132,0.02126,0.02937,0.02456
15,stage_2.1.conv_a,0.033749595284461975,0.0,0.04757,-0.01107,0.09771,-0.00293,0.0659,-0.00459,0.03673,-0.00736
16,stage_2.0.conv_b,-0.02892201952636242,-1.0,0.07694,-0.02937,0.10719,-0.00949,0.07563,-0.00973,0.04873,-0.01201
17,stage_2.0.conv_a,-0.11406140774488449,-1.0,0.03833,0.03861,0.09425,0.01295,0.05995,0.01568,0.02849,0.02024
18,stage_1.1.conv_b,0.05605607107281685,0.0,0.02768,0.01065,0.09219,0.00206,0.05077,0.00918,0.02056,0.00793
19,stage_1.1.conv_a,-0.05420606583356857,-1.0,0.04219,-0.01451,0.09628,-0.00409,0.06571,-0.01493,0.03496,-0.01441
20,stage_1.6.conv_b,0.1706281155347824,0.0,0.02068,0.02151,0.08919,0.00709,0.05107,0.01464,0.01444,0.02052
21,stage_1.6.conv_a,0.04830444976687431,0.0,0.04128,-0.0206,0.09602,-0.00683,0.06516,-0.01409,0.0342,-0.01976
22,stage_2.6.conv_b,0.08540412783622742,0.0,0.02344,0.01784,0.09092,0.0051,0.05469,0.01046,0.02037,0.01383
23,stage_1.5.conv_a,0.094605952501297,0.0,0.0246,-0.00116,0.09112,-0.0002,0.0551,-0.0004,0.02092,-0.00056
123,fc1,0.0,-1.0,0.06221,-0.03761,0.10599,-0.01487,0.05811,-0.00301,0.02442,-0.0035
223,fc1,-1.0,0.0,0.0246,0.03761,0.09112,0.01487,0.0551,0.00301,0.02092,0.0035
