Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,stage_3.11.conv_b,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.05255,0.69352,0.10432,0.65945,0.08236,0.61956,0.04988,0.63944
4,stage_3.12.conv_a,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.05383,-0.00128,0.10542,-0.0011,0.08415,-0.00179,0.05217,-0.00229
6,stage_1.14.conv_b,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.03512,0.0187,0.09352,0.0119,0.06245,0.02171,0.02559,0.02657
8,stage_2.12.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.03466,0.00046,0.09265,0.00087,0.0628,-0.00035,0.02874,-0.00315
10,stage_2.6.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.03098,0.00369,0.09089,0.00176,0.05795,0.00485,0.02367,0.00508
12,stage_3.15.conv_b,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.02087,0.0101,0.08905,0.00184,0.05273,0.00523,0.01703,0.00664
14,stage_3.4.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.03267,-0.01179,0.09109,-0.00204,0.05438,-0.00165,0.01955,-0.00253
16,stage_1.3.conv_b,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.01155,0.02112,0.08776,0.00333,0.04882,0.00556,0.01126,0.00829
18,stage_1.13.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.03262,-0.02107,0.09079,-0.00303,0.05371,-0.00489,0.01883,-0.00757
20,stage_1.4.conv_a,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.02321,0.00942,0.08961,0.00117,0.05138,0.00233,0.01585,0.00298
22,stage_3.3.conv_b,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.02941,-0.0062,0.0901,-0.00049,0.05241,-0.00103,0.01707,-0.00123
24,fc1,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.02536,0.00405,0.0899,0.0002,0.05177,0.00063,0.0165,0.00057
26,fc1,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.02737,-0.00201,0.08994,-5e-05,0.05186,-8e-05,0.01593,0.00057
28,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.02281,0.00456,0.08963,0.00031,0.05042,0.00143,0.01407,0.00187
30,stage_1.4.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.02501,-0.0022,0.08976,-0.00013,0.05094,-0.00051,0.01458,-0.00051
32,stage_3.6.conv_b,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.01909,0.00592,0.08899,0.00077,0.04969,0.00125,0.01301,0.00157
34,stage_1.8.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.02502,-0.00593,0.0898,-0.00081,0.05088,-0.00119,0.01447,-0.00146
36,stage_1.0.conv_b,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.01213,0.01289,0.08794,0.00185,0.04804,0.00284,0.01036,0.00411
38,stage_2.3.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.02356,-0.01143,0.08957,-0.00162,0.05049,-0.00244,0.01394,-0.00358
40,stage_2.0.conv_b,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.02082,0.00274,0.08937,0.0002,0.0498,0.00069,0.01325,0.00069
42,stage_1.2.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.02384,-0.00303,0.08971,-0.00034,0.05072,-0.00092,0.01426,-0.001
44,stage_3.1.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.02018,0.00367,0.08901,0.0007,0.04951,0.00121,0.01286,0.0014
46,stage_3.6.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.0253,-0.00513,0.08997,-0.00096,0.05102,-0.00151,0.0147,-0.00183
147,stage_2.12.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.03429,-0.00899,0.09428,-0.00431,0.05609,-0.00506,0.02182,-0.00713
248,stage_1.6.conv_a,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.02562,0.00867,0.09004,0.00425,0.0511,0.00498,0.0148,0.00702
