Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,stage_2.15.conv_a,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.7461,0.0,0.76256,0.0,0.69954,0.0,0.68364,0.0
2,stage_1.15.conv_b,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74614,-4e-05,0.7626,-4e-05,0.69979,-0.00025,0.68388,-0.00024
3,stage_1.9.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69979,0.0,0.68388,0.0
4,stage_2.7.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69979,0.0,0.68388,0.0
5,stage_2.12.conv_b,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69979,0.0,0.68388,0.0
6,stage_3.13.conv_b,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69979,0.0,0.68388,0.0
7,stage_1.7.conv_b,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.74614,-0.0,0.7626,0.0,0.69975,4e-05,0.68383,5e-05
8,stage_3.7.conv_b,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
9,stage_3.3.conv_b,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
10,stage_3.9.conv_b,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
11,stage_2.4.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.74614,-0.0,0.7626,0.0,0.69975,0.0,0.68383,-0.0
12,stage_1.1.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
13,stage_2.4.conv_b,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
14,stage_1.15.conv_b,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74614,0.0,0.7626,0.0,0.69975,0.0,0.68383,0.0
15,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74621,-7e-05,0.76265,-5e-05,0.69969,5e-05,0.68376,7e-05
16,stage_1.4.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74622,-1e-05,0.76265,-1e-05,0.69974,-5e-05,0.68383,-7e-05
17,stage_2.1.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.74622,0.0,0.76265,0.0,0.69974,0.0,0.68383,0.0
18,stage_2.0.conv_a,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.74622,0.0,0.76265,0.0,0.69974,0.0,0.68383,0.0
19,stage_3.10.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.74622,0.0,0.76265,0.0,0.69974,0.0,0.68383,0.0
20,stage_1.9.conv_b,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.74622,0.0,0.76265,0.0,0.69974,0.0,0.68383,0.0
21,stage_2.15.conv_a,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.74619,3e-05,0.76262,4e-05,0.69932,0.00042,0.68344,0.00039
22,stage_1.12.conv_a,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.74619,0.0,0.76262,0.0,0.69932,0.0,0.68344,0.0
23,stage_1.10.conv_a,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.74619,0.0,0.76262,0.0,0.69932,0.0,0.68344,0.0
24,stage_2.14.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.74619,0.0,0.76262,0.0,0.69932,0.0,0.68344,0.0
25,stage_1.2.conv_a,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.74619,0.0,0.76262,0.0,0.69932,0.0,0.68344,0.0
