Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,fc1,-0.14396466314792633,-1.0,0.02841,0.71769,0.01719,0.74538,0.05194,0.64761,0.02847,0.65516
4,stage_2.1.conv_a,0.15542566776275635,0.0,-0.01643,0.04484,0.02414,-0.00695,0.04542,0.00651,0.02123,0.00724
6,stage_2.1.conv_b,0.1109546348452568,0.0,-0.01654,0.00011,0.02411,3e-05,0.04536,7e-05,0.02124,-0.0
8,stage_2.2.conv_b,0.016191916540265083,0.0,-0.01824,0.0017,0.02389,0.00022,0.04469,0.00067,0.0208,0.00043
10,stage_2.2.conv_a,0.01700381562113762,0.0,0.0053,-0.02354,0.02865,-0.00475,0.04718,-0.0025,0.00414,0.01666
12,classifier,0.03417479991912842,0.0,0.0085,-0.0032,0.02895,-0.0003,0.04878,-0.00159,0.00614,-0.002
14,stage_2.5.conv_b,-0.02284814603626728,-1.0,0.0083,0.0002,0.0289,5e-05,0.04884,-6e-05,0.00619,-5e-05
16,stage_2.5.conv_a,0.04114460572600365,0.0,0.00635,0.00195,0.02871,0.00019,0.04877,6e-05,0.00601,0.00018
18,stage_2.12.conv_b,-0.040417831391096115,-1.0,0.00493,0.00142,0.02853,0.00018,0.04828,0.00049,0.00526,0.00075
20,stage_2.12.conv_a,0.023018142208456993,0.0,0.00578,-0.00086,0.02865,-0.00013,0.04862,-0.00034,0.00577,-0.00051
22,stage_2.3.conv_b,0.05769464373588562,0.0,0.00236,0.00343,0.0283,0.00036,0.04738,0.00123,0.00407,0.0017
24,stage_2.3.conv_a,-0.0009119939641095698,-1.0,0.00666,-0.0043,0.02874,-0.00044,0.04873,-0.00135,0.00596,-0.00189
26,stage_3.9.conv_b,0.012041047215461731,0.0,0.00078,0.00587,0.12371,-0.09497,0.04632,0.00241,0.01022,-0.00425
28,stage_3.9.conv_a,0.04136057198047638,0.0,0.00079,-1e-05,0.12371,0.0,0.04632,0.0,0.01022,-0.0
30,stage_3.8.conv_b,-0.05335113778710365,-1.0,0.0,0.00079,0.12365,6e-05,0.04629,3e-05,0.01016,6e-05
32,stage_3.8.conv_a,-0.02761690877377987,-1.0,0.00067,-0.00067,0.1237,-6e-05,0.04632,-3e-05,0.01021,-6e-05
34,stage_3.5.conv_b,0.04739772528409958,0.0,1e-05,0.00067,0.12365,6e-05,0.04629,3e-05,0.01016,6e-05
36,stage_3.5.conv_a,-0.040844112634658813,-1.0,0.00056,-0.00056,0.12369,-5e-05,0.04631,-2e-05,0.0102,-5e-05
38,stage_2.8.conv_b,0.018169693648815155,0.0,0.00091,-0.00035,0.12372,-3e-05,0.04633,-2e-05,0.01024,-4e-05
40,stage_2.8.conv_a,0.02507026493549347,0.0,0.00068,0.00023,0.1237,2e-05,0.04632,2e-05,0.01021,3e-05
42,stage_3.7.conv_b,-0.06271783262491226,-1.0,0.0,0.00068,0.12365,6e-05,0.04629,3e-05,0.01016,6e-05
44,stage_3.7.conv_a,0.03082042932510376,0.0,-0.0,0.0,0.12365,0.0,0.04629,0.0,0.01016,-0.0
46,stage_2.15.conv_b,-0.016578596085309982,-1.0,0.00012,-0.00012,0.12365,-1e-05,0.04629,-0.0,0.01016,-1e-05
48,stage_2.14.conv_a,0.06593894958496094,0.0,0.0,0.00012,0.12365,1e-05,0.04629,0.0,0.01016,1e-05
57,fc1,0.0,-128.0,0.00046,-0.00046,0.12368,-4e-05,0.04631,-2e-05,0.01019,-4e-05
